#LOGO,PROJECT,block_name,scenario,Intel_project,run_type,cores_ref,cores_test,mem_ref,mem_test,scratch,rundir,serial/para,is_stp?,stp_env,stp_ward,DT_area
INTEL,m2071,parpsf0,func_MMM_S_M40_prcs,NVL,R2R,4.0,4.0,40.0,40.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m2071/iQRM_testing/all_designs/parpsf0,PARA,True,/remote/pv/DATA_CENTER/DEPOT/US01_BERRY/m2071/iQRM_DONOT_DELETE/primetime/parpsf0.func_MMM_S_M40_prcs/orig_v1/product/PrimeTime/sykoid_20230803_035507026_stp_1691053214_V_3.7.1_unpacked/root/../others/env.csh,/remote/pv/DATA_CENTER/DEPOT/US01_BERRY/m2071/iQRM_DONOT_DELETE/primetime/parpsf0.func_MMM_S_M40_prcs/orig_v1/product/PrimeTime/sykoid_20230803_035507026_stp_1691053214_V_3.7.1_unpacked/root/nfs/site/disks/zsc11_nvlpcd_00009/work/skoid1/ww31_rchalo/ww31.2,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1803,par_fe,func_max_nom_ttttcmaxtttt_100_tttt,Amir,R2R_TBC,4.0,4.0,40.0,40.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1803/iQRM_testing/all_designs/par_fe,PARA,True,,,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1803,par_fe,func_max_nom_ttttcmaxtttt_100_tttt,Amir,R2R,4.0,4.0,40.0,40.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1803/iQRM_testing/all_designs/par_fe,PARA,True,,,/global/gts_ap/india4/snataraj/iQRM/DT
ST,ATHENA,top_athena,func_lp_sspg_BBGENx1_62V_TOPx0_81Vbias0_00V_PUx0_65Vbiasm0_70V_140C_sigrcmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,func_boost_sspg_BBGENx2_30V_TOPx1_05Vbiasm1_80V_PUx1_05Vbiasm1_80V_125C_sigrcmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,func_lp_sspg_BBGENx1_62V_TOPx0_81Vbias0_00V_PUx0_65Vbiasm0_70V_m40C_sigrcmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,scan_capture_ffpg_BBGENx2_00V_TOPx0_95Vbiasm0_50V_PUx0_95Vbiasm0_50V_125C_sigrcmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,scan_shift_ffpg_BBGENx2_00V_TOPx0_95Vbiasm0_50V_PUx0_95Vbiasm0_50V_125C_sigrcmin,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,startup_sspg_BBGENx1_62V_TOPx0_81Vbias0_00V_PUx0_81Vbias0_00V_140C_sigrcmin,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,func_boost_sspg_BBGENx2_30V_TOPx1_05Vbiasm1_80V_PUx1_05Vbiasm1_80V_125C_sigrcmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,func_lp_sspg_BBGENx1_62V_TOPx0_81Vbias0_00V_PUx0_65Vbiasm0_70V_m40C_sigrcmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,scan_capture_ffpg_BBGENx2_00V_TOPx0_95Vbiasm0_50V_PUx0_95Vbiasm0_50V_125C_sigrcmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,scan_shift_ffpg_BBGENx2_00V_TOPx0_95Vbiasm0_50V_PUx0_95Vbiasm0_50V_125C_sigrcmin,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,ATHENA,top_athena,startup_sspg_BBGENx1_62V_TOPx0_81Vbias0_00V_PUx0_81Vbias0_00V_140C_sigrcmin,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/ATHENA_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,clkext_ARM1_SOC1_tt28_0_80V_0_90V_25C_nom,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,func_ARM4_SOC1_ff28_0_90V_1_10V_125C_FuncCmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,func_ARM4_SOC1_ss28_0_70V_0_95V_125C_FuncRCmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,shift_ARM1_SOC1_ss28_0_70V_0_80V_m40C_FuncCmax,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,shift_ARM1_SOC1_ss28_0_70V_0_80V_m40C_FuncRCmin,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,trans_pll_ARM4_SOC1_ff28_0_90V_1_10V_125C_FuncCmin,ST,R2R,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,clkext_ARM1_SOC1_tt28_0_80V_0_90V_25C_nom,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,func_ARM4_SOC1_ff28_0_90V_1_10V_125C_FuncCmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,func_ARM4_SOC1_ss28_0_70V_0_95V_125C_FuncRCmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,shift_ARM1_SOC1_ss28_0_70V_0_80V_m40C_FuncCmax,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,shift_ARM1_SOC1_ss28_0_70V_0_80V_m40C_FuncRCmin,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
ST,KINGFISHER,kingfishermpss_soc,trans_pll_ARM4_SOC1_ff28_0_90V_1_10V_125C_FuncCmin,ST,R2R_TBC,4.0,4.0,50.0,50.0,10.0,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/KINGFISHER_RUNDIR/bera,PARA,True,,,/slowfs/pv_scratch50/Secure_Data_Run/generic/DEBUG/STQRM_RESULTS/DT
INTEL,m1659,bcphy,func_0p650_0p825_78dot3_max_ttttcmaxtttt_100_tttt,IPG,R2R,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/bcphy,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root//nfs/site/disks/ddi_regression_00/spatalba/iQRM_testcases/bcphy_usb/runs/bcphy_usb_dp_x2/1278.3/sta_pt/func.0p650_0p825_78dot3_max.ttttcmaxtttt_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1659,bcphy,func_0p650_0p825_78dot3_max_ttttcmaxtttt_100_tttt,IPG,ETM_CHECKS,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/bcphy,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root//nfs/site/disks/ddi_regression_00/spatalba/iQRM_testcases/bcphy_usb/runs/bcphy_usb_dp_x2/1278.3/sta_pt/func.0p650_0p825_78dot3_max.ttttcmaxtttt_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1659,mdfi,merged1_0p65_0p65_TT_100_tttt,IPG,R2R,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/mdfi,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root//nfs/site/disks/ddi_regression_04/tshashan/iqrm_testcase/mdfi/runs/mdfis_ns_p76/1276.9/sta_pt/merged1.0p65_0p65.TT_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1659,mdfi,merged1_0p65_0p65_TT_100_tttt,IPG,ETM_CHECKS,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/mdfi,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root//nfs/site/disks/ddi_regression_04/tshashan/iqrm_testcase/mdfi/runs/mdfis_ns_p76/1276.9/sta_pt/merged1.0p65_0p65.TT_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1659,bcphy,func_0p650_0p825_78dot3_max_ttttcmaxtttt_100_tttt,IPG,ETM_FUNC,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/bcphy,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/bcphy/spatalbansi_20240206_083533021_stp_1707153445_V_3.7.1_unpacked/root//nfs/site/disks/ddi_regression_00/spatalba/iQRM_testcases/bcphy_usb/runs/bcphy_usb_dp_x2/1278.3/sta_pt/func.0p650_0p825_78dot3_max.ttttcmaxtttt_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
INTEL,m1659,mdfi,merged1_0p65_0p65_TT_100_tttt,IPG,ETM_FUNC,4.0,4.0,20.0,20.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1656/iQRM_testing/all_designs/mdfi,PARA,True,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root/../others/env.csh,/global/pv_intel_design/m1659/Data_Transfer/iQRM_DONOT_DELETE/shivani_intel_ipg_etm/mdfi/spatalbansi_20240205_110035147_stp_1707118113_V_3.8.2_unpacked/root//nfs/site/disks/ddi_regression_04/tshashan/iqrm_testcase/mdfi/runs/mdfis_ns_p76/1276.9/sta_pt/merged1.0p65_0p65.TT_100.tttt/logs,/global/gts_ap/india4/snataraj/iQRM/DT
#FIRE,HOT,top,func_max,FIRE,ETM_FUNC,4.0,4.0,50.0,50.0,10.0,/remote/pv/projects/users/bera/iQRM_project-20230606/m1706/iQRM_testing/all_designs,PARA,True,test.env,test_stp_dir,
#testing,,,,,,,,,,,,,,,,
INTEL,m1706,vinfraucenter,func_nom_TT_100_tttt,,R2R_,,,,,,,,,,,
